product_id,country,event,price_amount,number_of_users
a_couple_foodies_subscription:a-couple-foodies-map-6months,Unknown,No Conversion,0.0,2
a_couple_foodies_subscription:a-couple-foodies-map-monthly,Unknown,No Conversion,0.0,1
acouplefoodies_map.F5b9ewuz2Cb.6m,Unknown,No Conversion,0.0,4
acouplefoodies_map.F5b9ewuz2Cb.6m,US,No Conversion,0.0,7
acouplefoodies_map.F5b9ewuz2Cb.m,Unknown,No Conversion,0.0,1
acouplefoodies_map.F5b9ewuz2Cb.m,US,No Conversion,0.0,3
atly.plus.m1,Unknown,No Conversion,0.0,1
atly.plus.m1,AE,No Conversion,0.0,1
atly.plus.m1,AR,No Conversion,0.0,1
atly.plus.m1,AU,No Conversion,0.0,4
atly.plus.m1,AU,No Conversion,8.164,3
atly.plus.m1,AU,RC Trial converted,8.164,1
atly.plus.m1,CA,RC Trial converted,6.963,2
atly.plus.m1,CH,RC Trial converted,10.669,1
atly.plus.m1,DE,No Conversion,0.0,2
atly.plus.m1,ES,RC Trial converted,7.99,1
atly.plus.m1,GB,No Conversion,0.0,2
atly.plus.m1,GB,No Conversion,10.291333333333332,4
atly.plus.m1,GB,RC Trial converted,10.291333333333332,3
atly.plus.m1,IE,No Conversion,0.0,1
atly.plus.m1,IT,No Conversion,0.0,1
atly.plus.m1,IT,RC Trial converted,10.084,1
atly.plus.m1,MX,No Conversion,0.0,1
atly.plus.m1,NL,No Conversion,0.0,2
atly.plus.m1,NZ,RC Trial converted,8.163,1
atly.plus.m1,OM,No Conversion,0.0,1
atly.plus.m1,PH,RC Trial converted,6.949,1
atly.plus.m1,PL,No Conversion,0.0,1
atly.plus.m1,PT,No Conversion,0.0,1
atly.plus.m1,RO,No Conversion,0.0,1
atly.plus.m1,RO,RC Trial converted,10.088,1
atly.plus.m1,TR,No Conversion,0.0,2
atly.plus.m1,US,No Conversion,0.0,9
atly.plus.m1,US,No Conversion,7.999722222222222,34
atly.plus.m1,US,RC Trial converted,7.999722222222222,18
atly.plus.y1,Unknown,No Conversion,0.0,2
atly.plus.y1,AE,No Conversion,54.449,4
atly.plus.y1,AE,RC Trial converted,54.449,1
atly.plus.y1,AR,No Conversion,0.0,2
atly.plus.y1,AR,RC Trial converted,9.99,1
atly.plus.y1,AT,No Conversion,0.0,5
atly.plus.y1,AT,RC Trial converted,11.282,1
atly.plus.y1,AU,No Conversion,0.0,21
atly.plus.y1,AU,No Conversion,9.549153846153846,41
atly.plus.y1,AU,No Conversion,50.7322,13
atly.plus.y1,AU,RC Trial converted,9.549153846153846,26
atly.plus.y1,AU,RC Trial converted,50.7322,5
atly.plus.y1,BB,RC Trial converted,11.99,1
atly.plus.y1,BE,RC Trial converted,11.218,1
atly.plus.y1,BG,No Conversion,0.0,1
atly.plus.y1,BR,No Conversion,0.0,4
atly.plus.y1,BY,No Conversion,0.0,1
atly.plus.y1,CA,No Conversion,0.0,16
atly.plus.y1,CA,No Conversion,9.4281,15
atly.plus.y1,CA,RC Trial converted,9.4281,10
atly.plus.y1,CH,No Conversion,0.0,7
atly.plus.y1,CH,No Conversion,12.111,4
atly.plus.y1,CH,RC Trial converted,12.111,1
atly.plus.y1,CR,No Conversion,0.0,1
atly.plus.y1,CR,No Conversion,9.99,1
atly.plus.y1,CR,RC Trial converted,9.99,1
atly.plus.y1,CY,No Conversion,0.0,1
atly.plus.y1,CZ,No Conversion,0.0,2
atly.plus.y1,DE,No Conversion,0.0,3
atly.plus.y1,DE,No Conversion,10.97090909090909,22
atly.plus.y1,DE,No Conversion,63.3225,4
atly.plus.y1,DE,RC Trial converted,10.97090909090909,11
atly.plus.y1,DE,RC Trial converted,63.3225,2
atly.plus.y1,DK,No Conversion,0.0,3
atly.plus.y1,DO,RC Trial converted,9.99,1
atly.plus.y1,EG,No Conversion,0.0,1
atly.plus.y1,ES,No Conversion,0.0,9
atly.plus.y1,FI,No Conversion,0.0,2
atly.plus.y1,FI,RC Trial converted,11.175,1
atly.plus.y1,FR,No Conversion,0.0,6
atly.plus.y1,FR,No Conversion,10.928,2
atly.plus.y1,FR,RC Trial converted,10.928,2
atly.plus.y1,GB,No Conversion,0.0,19
atly.plus.y1,GB,No Conversion,12.38065,49
atly.plus.y1,GB,No Conversion,62.64833333333333,9
atly.plus.y1,GB,RC Trial converted,12.38065,20
atly.plus.y1,GB,RC Trial converted,62.64833333333333,3
atly.plus.y1,GR,No Conversion,0.0,1
atly.plus.y1,HK,No Conversion,0.0,1
atly.plus.y1,HK,No Conversion,13.415,1
atly.plus.y1,HK,RC Trial converted,13.415,1
atly.plus.y1,HR,No Conversion,0.0,1
atly.plus.y1,HU,No Conversion,0.0,1
atly.plus.y1,HU,RC Trial converted,12.441,1
atly.plus.y1,HU,RC Trial converted,58.616,1
atly.plus.y1,ID,No Conversion,0.0,2
atly.plus.y1,IE,No Conversion,0.0,1
atly.plus.y1,IE,No Conversion,49.99,3
atly.plus.y1,IE,RC Trial converted,11.239,1
atly.plus.y1,IE,RC Trial converted,49.99,1
atly.plus.y1,IL,No Conversion,0.0,2
atly.plus.y1,IL,No Conversion,9.6898,5
atly.plus.y1,IL,RC Trial converted,9.6898,5
atly.plus.y1,IN,No Conversion,0.0,5
atly.plus.y1,IS,No Conversion,0.0,2
atly.plus.y1,IT,No Conversion,0.0,14
atly.plus.y1,IT,No Conversion,11.366333333333335,3
atly.plus.y1,IT,RC Trial converted,11.366333333333335,3
atly.plus.y1,JP,No Conversion,0.0,7
atly.plus.y1,JP,RC Trial converted,11.753499999999999,2
atly.plus.y1,LU,RC Trial converted,11.291,1
atly.plus.y1,LV,No Conversion,0.0,1
atly.plus.y1,MA,No Conversion,0.0,1
atly.plus.y1,ME,RC Trial converted,11.503,1
atly.plus.y1,MX,No Conversion,0.0,2
atly.plus.y1,NG,No Conversion,0.0,1
atly.plus.y1,NL,No Conversion,0.0,3
atly.plus.y1,NL,No Conversion,62.259,2
atly.plus.y1,NL,RC Trial converted,62.259,1
atly.plus.y1,NO,No Conversion,0.0,6
atly.plus.y1,NZ,No Conversion,0.0,4
atly.plus.y1,PH,No Conversion,0.0,1
atly.plus.y1,PL,No Conversion,0.0,3
atly.plus.y1,PL,No Conversion,13.242999999999999,3
atly.plus.y1,PL,RC Trial converted,13.242999999999999,2
atly.plus.y1,PT,No Conversion,0.0,2
atly.plus.y1,QA,RC Trial converted,10.941,1
atly.plus.y1,RE,No Conversion,0.0,1
atly.plus.y1,RO,No Conversion,0.0,1
atly.plus.y1,RO,RC Trial converted,11.313,1
atly.plus.y1,SA,No Conversion,0.0,2
atly.plus.y1,SA,No Conversion,9.99,1
atly.plus.y1,SA,RC Trial converted,9.99,1
atly.plus.y1,SE,No Conversion,0.0,1
atly.plus.y1,SE,RC Trial converted,13.283,1
atly.plus.y1,SG,No Conversion,0.0,1
atly.plus.y1,SK,No Conversion,0.0,1
atly.plus.y1,TH,No Conversion,0.0,5
atly.plus.y1,TR,No Conversion,0.0,9
atly.plus.y1,UA,No Conversion,0.0,1
atly.plus.y1,US,No Conversion,0.0,67
